name,domain,tier,model,description,capabilities,tools,related-agents,not-my-scope,maxTurns,permissionMode
"academic-advisor","advisor","execution","sonnet","Academic research and tutoring consolidated agent. Modes: research (literature review, research design, academic writing, grant proposals), tutor (concept explanation, problem solving, study coaching, exam prep). Set metadata.mode or pass mode=<value> in the invocation.","literature_review;research_design;academic_writing;grant_writing;concept_explanation;problem_solving;study_coaching;exam_preparation","","","","",""
"ai-writing-editor","writer","execution","opus","Use when text needs to be checked for AI-writing tells, humanized, or both — detecting synthetic markers (delve, tapestry, em-dash overuse, low burstiness), rewriting generated prose into natural human voice, or running a one-pass detect-then-rewrite gate. Mode-flagged: set metadata.mode or pass mode=<value> (detect | rewrite | both).","ai_writing_detection;pattern_analysis;cross_category_analysis;detection_reporting;ai_writing_rewrite;humanization;multi_pass_editing;voice_preservation;burstiness_injection;perplexity_optimization;persona_adaptation;calibration_profiling","","","","30",""
"architect","developer","controller","opusplan","Use when making system design decisions, evaluating technical approaches, designing API contracts, or planning migrations. Provides architecture diagrams, tradeoff analysis, and pattern recommendations.","system_design;architecture_patterns;distributed_systems;microservices_design;api_design;database_architecture;performance_optimization;scalability_planning;security_architecture;cloud_architecture;technical_debt_management;design_patterns;trade_off_analysis","","","","40",""
"backend-developer","developer","execution","sonnet","Implements server-side systems — REST/GraphQL APIs, auth, caching, DB schema, migrations, and game-engine/gameplay systems (rendering pipelines, game logic, physics). Use for backend, database, or game-engine build work. Modes: api, database, engine, game. Set metadata.mode. NOT for: frontend/UI (use frontend-developer) or cross-service architecture decisions (use architect).","api_development;database_operations;authentication_systems;caching_strategies;third_party_integration;error_handling;backend_testing;performance_optimization;database_design;performance_tuning;backup_recovery;data_migration;query_optimization;database_security;engine_architecture;core_systems_development;memory_management;rendering_pipeline;platform_optimization;threading_systems;gameplay_programming;player_controller_implementation;physics_systems;game_state_management;state_machines;input_handling","","","","30",""
"cco","leadership","controller","opusplan","Use for creative vision, narrative strategy, artistic direction, tier 3-4 creative projects, or major creative decisions. Chief Creative Officer.","creative_vision;narrative_strategy;brand_storytelling;artistic_direction;creative_team_leadership;quality_standards","","","","40",""
"ceo","leadership","controller","opusplan","Use for strategic decisions, major initiatives, and company direction. Chief Executive Officer providing strategic vision and stakeholder alignment.","strategic_vision;executive_decisions;stakeholder_management;organizational_alignment;major_initiatives;board_relations;crisis_management","","","","40",""
"cfo","leadership","controller","opusplan","Use for budget requests, investment decisions, pricing strategy, financial risk assessment, and fundraising. Chief Financial Officer providing financial leadership.","financial_strategy;budget_management;fundraising;investment_decisions;financial_risk_assessment;treasury_management;forecast_accuracy","","","","40",""
"chro","leadership","controller","opusplan","Use for workforce planning, organizational design, talent strategy, culture initiatives, and major HR transformations. Chief Human Resources Officer.","talent_strategy;organizational_design;culture_leadership;workforce_planning;change_management;executive_compensation","","","","40",""
"cmo","leadership","controller","opusplan","Use for marketing strategy, brand positioning, demand generation oversight, and growth channel optimization. CMO-level marketing leadership.","marketing_strategy;budget_allocation;brand_stewardship;executive_leadership;cross_functional_alignment;demand_generation_oversight","","","","40",""
"composer","creator","execution","sonnet","Composes original and adaptive music — game scoring, leitmotifs, thematic composition, orchestration, loop design, and interactive/dynamic audio systems (Wwise/FMOD, horizontal resequencing, vertical layering). Use for music composition and adaptive/interactive audio, especially for games and interactive media. Modes: scoring, adaptive, orchestration. Set metadata.mode or pass mode=<value>. NOT for: film/video direction, cinematography, or editing (use film-director), or visual art/concept design (use visual-artist).","adaptive_music_composition;leitmotif_development;thematic_scoring;orchestration;horizontal_resequencing;vertical_layering;loop_design;interactive_music_systems;music_production","","","","40",""
"coo","leadership","controller","opusplan","Use for operational decisions, process coordination, cross-functional efficiency improvements, and scaling operations. Chief Operating Officer.","operational_execution;process_optimization;cross_functional_coordination;resource_allocation;performance_management;organizational_scaling","","","","40",""
"coordinator","core","controller","opusplan","Parameterized controller for lightweight domains (health, education, personal, arts, trades). Reads domain_overrides.yaml at runtime to discover specialists. Use when the calling domain lacks a dedicated controller.","strategic_oversight;question_based_delegation;specialist_coordination;domain_adaptive_coordination;synthesis_and_planning","","","","40",""
"coord-log-writer","core","execution","sonnet","Assembles final coordination_log.yaml from on-disk artifacts (task_list.yaml, per-wave EVT files, outputs/, gate_validations/). Reads everything; lead receives only a 1-line confirmation.","log_assembly;artifact_aggregation;status_synthesis","","","","",""
"cpo","leadership","controller","opusplan","Use for strategic planning oversight, cross-functional alignment, tier 3-4 strategic plans, or complex multi-domain planning. Chief Planning Officer.","strategic_planning;cross_functional_alignment;okr_oversight;scenario_planning;portfolio_management;organizational_alignment","","","","40",""
"cro","leadership","controller","opusplan","Use for revenue strategy, sales and marketing alignment, pipeline optimization, and go-to-market execution. CRO-level revenue leadership.","revenue_strategy;sales_leadership;gtm_execution;pipeline_optimization;sales_marketing_alignment;customer_acquisition","","","","40",""
"cto","leadership","controller","opusplan","Use for technology strategy, architecture decisions, tech stack evaluation, and engineering excellence. Chief Technology Officer providing technical leadership.","technology_strategy;technical_architecture;innovation_leadership;engineering_excellence;platform_decisions;cloud_strategy;technical_risk_assessment","","","","40",""
"customer-success-manager","operator","controller","sonnet","Drives customer value realization and retention — onboarding, product adoption, health scoring, churn prevention, QBRs, and expansion through success. Use for proactive customer-success work: getting customers live, growing usage, and keeping renewals healthy. Modes: onboarding, adoption, retention. Set metadata.mode or pass mode=<value>. NOT for: reactive support tickets/troubleshooting or support-org strategy (use support-director), or sales prospecting/closing (use sales-strategist).","customer_onboarding;adoption_management;success_planning;health_monitoring;churn_prevention;value_realization;renewal_management;proactive_support","","","","",""
"data-lead","developer","controller","opusplan","Leads and executes data engineering — pipeline architecture, schema design, and data-quality standards (coordinate), plus hands-on ETL/ELT, SQL, dashboards, and BI (analyze). Use for data-platform coordination or data-analysis execution. Modes: coordinate, analyze. Set metadata.mode. NOT for: ML modeling/statistics/forecasting (use data-scientist) or application backend work (use backend-developer).","database_architecture;schema_design;etl_pipeline_design;query_optimization;analytics_strategy;data_pipeline_development;analytics_reporting;data_quality;business_intelligence;data_visualization","","","","40",""
"data-scientist","analyst","execution","sonnet","Runs quantitative analysis end to end — ML modeling and EDA, experimental design and hypothesis testing, forecasting and time series, BI dashboards and warehousing, and performance/capacity metrics. Use for modeling, statistics, forecasting, BI, or metrics work. Modes: ds, stats, forecast, bi, perf-metrics. Set metadata.mode. NOT for: data-pipeline engineering coordination (use data-lead) or market/customer research (use market-research-analyst).","machine_learning;predictive_modeling;statistical_analysis;feature_engineering;model_deployment;ab_testing;nlp;computer_vision;statistical_modeling;experimental_design;hypothesis_testing;bayesian_inference;power_analysis;data_interpretation;forecasting;trend_analysis;bi_strategy;enterprise_dashboards;data_warehousing;etl_pipelines;semantic_layer;self_service_analytics;performance_monitoring;performance_optimization;bottleneck_identification;capacity_analysis;performance_testing;metrics_analysis","","","","",""
"devops-engineer","developer","execution","sonnet","Owns infrastructure and delivery — CI/CD pipelines, IaC, containers/orchestration, and deployment automation (cicd), cross-environment DevOps coordination and deploy-failure debugging (coordinate), and application performance/latency profiling (profile). Use for deploy, infra, or performance-profiling work. Modes: cicd, coordinate, profile. Set metadata.mode. NOT for: application feature code (use backend-developer) or security hardening/audits (use security-engineer).","ci_cd;iac;containers;orchestration;deploy_automation;devops_coordination;perf_profiling;latency_analysis;bottleneck_detection;monitoring_alerting","","","","",""
"editor","writer","controller","opusplan","Use when content needs polish, prose is awkward, writing is too long, tone needs adjustment, or persuasive copy is needed. Consolidated agent supporting four modes: line-edit (developmental + structural editing), copy-edit (grammar/consistency/style-guide), prose-style (sentence-level rhythm/voice/figurative language), copy (marketing copy, headlines, ad text, email sequences, sales content). Set metadata.mode or pass mode=<value> in the invocation.","developmental_editing;structural_analysis;character_arc_assessment;line_editing;pacing_diagnosis;revision_strategy;editorial_letter_craft;genre_sensitive_editing;manuscript_coordination;style_guide_mastery;voice_preservation;consistency_tracking;query_system;prose_composition;rhetorical_craft;figurative_language;rhythm_and_cadence;narrative_distance;ad_copy;landing_pages;email_copy;social_media;brand_voice;conversion_copy","","","","40",""
"execution-monitor","core","infrastructure","opus","Use when monitoring controller execution progress, verifying coordination_log completeness, or managing phase transitions in the pipeline. Monitors controllers — it does NOT execute work items itself (controllers spawn execution agents). NOT for: implementing tasks (use an execution agent) or coordinating work (use a controller).","controller_monitoring;blocker_detection;output_aggregation;progress_tracking","","","","40",""
"film-director","creator","execution","sonnet","Directs films and video — cinematography, screenwriting, editing, production design, actor direction, and festival/distribution. Use for cinematic direction and film/video storytelling. NOT for: game/interactive music composition and adaptive audio (use composer), or visual art/concept design (use visual-artist).","directing;cinematography;film_editing;screenwriting;production_design","","","","40",""
"frontend-developer","developer","execution","sonnet","Builds user interfaces and user experience — UI components, responsive design, React/Vue/Angular, accessibility, and performance, plus user research, wireframing, design systems, and usability testing. Use for any UI or UX work. Modes: ui, ux. Set metadata.mode. NOT for: server-side/API logic (use backend-developer) or backend performance profiling (use devops-engineer).","ui_component_development;react_vue_angular;responsive_design;accessibility_wcag;state_management;frontend_performance;typescript;design_systems;user_research;interface_design;usability_testing;prototyping","","","","",""
"game-designer","strategist","execution","sonnet","Designs game mechanics and systems — player experience, GDDs, and milestone/production planning. Use for how-the-game-plays. Modes: design, production. Set metadata.mode. NOT for: engine/gameplay code (use backend-developer mode=game) or product roadmap/backlog (use product-owner).","game_mechanics_design;systems_design;player_experience_design;game_loop_architecture;design_documentation;production_management;milestone_planning;resource_allocation;team_coordination;risk_management","","","","",""
"general-counsel","advisor","controller","opusplan","Provides legal counsel and oversight — corporate/entity/M&A/governance, regulatory compliance frameworks and audits, data privacy (GDPR/CCPA/PIAs), and legal operations. Use for any legal, compliance, or privacy question. Modes: counsel, corporate, compliance, privacy, legal-ops. Set metadata.mode. Not a substitute for a licensed attorney. NOT for: security vulnerability audits (use security-engineer) or HR/employment policy (use hr-manager).","legal_strategy;litigation_oversight;corporate_governance;transaction_management;risk_coordination;corporate_law;ma_transactions;securities_compliance;compliance_frameworks;risk_assessment;ethics_programs;data_privacy;gdpr_compliance;ccpa_compliance;privacy_by_design;data_governance;legal_operations;vendor_management;process_optimization;legal_technology","","","","40",""
"hitl","core","infrastructure","sonnet","Use when a workflow requires human approval, when automated decisions need manual override, or when tier 4 escalation gates must be resolved.","context_preparation;options_presentation;decision_capture;pattern_learning;workflow_pause_resume","","","","15",""
"hr-manager","operator","controller","opusplan","Runs people operations and HR strategy — employee lifecycle and policy (hr-ops), strategic HR partnership and org design (hrbp), full-cycle talent acquisition (recruit), training and development (learning), and new-hire onboarding. Use for HR operations, hiring, org design, L&D, or onboarding. Modes: hr-ops, hrbp, recruit, learning, onboarding. Set metadata.mode. NOT for: executive workforce strategy (use chro) or personal career coaching (use life-coach).","hr_operations;employee_lifecycle;people_team_coordination;policy_management;strategic_hr_consulting;organizational_planning;change_management;talent_strategy;talent_acquisition;training_program_design;career_development;onboarding_program_design;new_hire_experience","","","","40",""
"life-coach","advisor","execution","sonnet","Coaches personal growth and life decisions — goal setting, habits, life transitions, job search/resume/interviews/salary, and personal budgeting/debt/investing/retirement. Use for personal coaching, career moves, or personal-finance questions. Modes: coaching, career, finance. Set metadata.mode. NOT for: clinical or mental-health care (use medical-advisor) or corporate financial modeling (use operations-manager).","goal_setting;habit_formation;values_work;transition_coaching;career_exploration;resume_coaching;interview_prep;salary_negotiation;budgeting;investment_guidance;retirement_planning;debt_management","","","","",""
